name,position,nba_team,status,ownership
Cam Whitmore,"SF,PF,F,Util",-,,12%
Kris Murray,"SF,PF,F,Util",-,,0
Nick Smith Jr.,"PG,SG,G,Util",-,,0
Noah Clowney,"PF,F,C,Util",-,,3%
Brice Sensabaugh,"SF,PF,F,Util",-,,8%
Oscar Tshiebwe,"PF,F,C,Util",-,,0
Jacob Toppin,"SF,F,Util",-,,0
Craig Porter Jr.,"PG,SG,G,Util",-,,0
Colin Castleton,"PF,F,C,Util",-,,0
Alex Antetokounmpo,"SF,F,Util",-,,0
Javonte Cooke,"SG,G,Util",-,,0
Duop Reath,"C,Util",-,,0
Pete Nance,"PF,F,Util",-,,0
Tosan Evbuomwan,"SF,PF,F,Util",-,,0
Drew Peterson,"SF,PF,F,Util",-,,0
Trey Jemison III,"PF,F,C,Util",-,,0
Ronald Holland II,"SF,PF,F,Util",-,,1%
Kyshawn George,"SG,G,SF,F,Util",-,,24%
Tristan da Silva,"SF,PF,F,Util",-,,0
Jared McCain,"PG,SG,G,Util,IL,IL+",-,INJ,13%
Baylor Scheierman,"SF,F,Util",-,,0
Ja'Kobe Walter,"PG,SG,G,Util,IL,IL+",-,INJ,0
Jaylon Tyson,"SF,F,Util",-,,0
Terrence Shannon Jr.,"SF,PF,F,Util",-,,1%
Rob Dillingham,"PG,G,Util",-,,2%
Cody Williams,"SG,G,SF,F,Util",-,,0
DaRon Holmes II,"PF,F,Util",-,,0
Dalton Knecht,"SG,G,SF,F,Util",-,,3%
Ryan Dunn,"SF,PF,F,Util",-,,2%
Devin Carter,"PG,G,Util",-,,0
Tidjane Salaün,"PF,F,Util",-,,0
Pacôme Dadiet,"SF,PF,F,Util",-,,0
AJ Johnson,"PG,SG,G,Util",-,,0
Nikola Topić,"PG,G,Util,IL,IL+",-,INJ,1%
Kevin McCullar Jr.,"SF,PF,F,Util",-,,0
Ajay Mitchell,"PG,SG,G,Util",-,,3%
Johnny Furphy,"SG,G,SF,F,Util",-,,1%
Quinten Post,"C,Util",-,,2%
Justin Edwards,"SF,F,Util",-,,0
Keshad Johnson,"PF,F,Util",-,,0
Pelle Larsson,"SG,G,SF,F,Util",-,,0
Oso Ighodaro,"C,Util",-,,0
Tyler Kolek,"PG,G,Util",-,,0
Daniss Jenkins,"PG,G,Util",-,,0
Ariel Hukporti,"C,Util",-,,0
Isaiah Crawford,"SF,F,Util,IL,IL+",-,INJ,0
Nikola Đurišić,"SF,F,Util",-,,0
KJ Simpson,"PG,G,Util",-,,0
Enrique Freeman,"PF,F,Util",-,,0
Cam Spencer,"SG,G,Util",-,,0
N'Faly Dante,"C,Util",-,,0
PJ Hall,"C,Util",-,,0
Jonathan Mogbo,"PF,F,C,Util",-,,0
Bobi Klintman,"PF,F,Util",-,,0
Jamal Shead,"PG,G,Util",-,,0
Adem Bona,"C,Util",-,,5%
Harrison Ingram,"SF,F,Util",-,,0
Cam Christie,"SG,G,SF,F,Util",-,,0
Antonio Reeves,"SG,G,SF,F,Util",-,,0
Bronny James,"PG,SG,G,Util",-,,1%
Jaylen Wells,"SG,G,SF,F,Util",-,,27%
Isaac Jones,"PF,F,C,Util,IL,IL+",-,INJ,0
Branden Carlson,"C,Util",-,,0
Jackson Rowe,"SF,PF,F,Util",-,,0
Riley Minix,"SF,F,Util",-,,0
David Jones Garcia,"SF,F,Util",-,,0
Isaiah Stevens,"PG,G,Util",-,,0
Trey Alexander,"SG,G,Util",-,,0
Jamison Battle,"SF,PF,F,Util",-,,0
Spencer Jones,"SG,G,SF,F,Util",-,,0
Trentyn Flowers,"SF,F,Util",-,,0
Nae'Qwan Tomlin,"PF,F,Util",-,,0
Jahmir Young,"PG,G,Util",-,,0
Emanuel Miller,"SF,F,Util",-,,0
RayJ Dennis,"PG,G,Util",-,,0
Tolu Smith,"C,Util",-,,0
Elijah Harkless,"SG,G,Util",-,,0
Jeremiah Fears,"PG,G,Util",-,,4%
Yanic Konan Niederhäuser,"C,Util",-,,0
Noa Essengue,"PF,F,Util",-,,0
Collin Murray-Boyles,"PF,F,Util,IL+",-,O,1%
Derik Queen,"C,Util",-,,2%
Egor Dëmin,"PG,G,Util",-,,17%
Liam McNeeley,"SF,F,Util",-,,0
Khaman Maluach,"C,Util",-,,5%
Tre Johnson,"SG,G,Util",-,,9%
Will Riley,"SF,F,Util",-,,0
Kon Knueppel,"SF,F,Util",-,,16%
Asa Newell,"PF,F,Util",-,,0
Kasparas Jakučionis,"PG,G,Util,IL+",-,O,1%
Jase Richardson,"SG,G,Util",-,,0
VJ Edgecombe,"SG,G,Util",-,,39%
Nolan Traore,"PG,G,Util",-,,0
Danny Wolf,"PF,F,Util,IL+",-,O,0
Drake Powell,"SG,G,Util,IL+",-,GTD,0
Ben Saraf,"SG,G,Util",-,,1%
Hugo González,"SF,F,Util",-,,0
Joan Beringer,"C,Util",-,,0
Walter Clayton Jr.,"PG,G,Util",-,,2%
Thomas Sorber,"C,Util,IL,IL+",-,INJ,0
Yang Hansen,"C,Util",-,,16%
Cedric Coward,"SG,G,Util",-,,1%
Carter Bryant,"SF,F,Util",-,,1%
Dylan Harper,"SG,G,Util",-,,25%
Nique Clifford,"SG,G,Util",-,,2%
Kobe Sanders,"SG,G,Util",-,,0
Mohamed Diawara,"PF,F,Util",-,,0
Tyrese Proctor,"PG,G,Util",-,,0
Amari Williams,"C,Util",-,,0
Johni Broome,"C,Util",-,,0
Koby Brea,"SG,G,Util",-,,0
Ryan Kalkbrenner,"C,Util",-,,13%
Brooks Barnhizer,"SG,G,Util",-,,0
Noah Penda,"SF,F,Util",-,,0
Rocco Zikarsky,"C,Util",-,,0
Lachlan Olbrich,"PF,F,Util",-,,0
Max Shulga,"SG,G,Util",-,,0
Alex Toohey,"PF,F,Util,IL+",-,O,0
Will Richard,"SG,G,Util",-,,0
Chaz Lanier,"SG,G,Util",-,,0
Kam Jones,"SG,G,Util,IL,IL+",-,INJ,0
Adou Thiero,"SF,F,Util,IL,IL+",-,INJ,0
Jamir Watkins,"SF,F,Util",-,,0
Alijah Martin,"SG,G,Util",-,,0
Taelon Peter,"SG,G,Util",-,,0
John Tonje,"SG,G,Util",-,,0
Javon Small,"PG,G,Util",-,,1%
Rasheer Fleming,"PF,F,Util",-,,0
Maxime Raynaud,"C,Util",-,,0
Micah Peavy,"SG,G,Util",-,,0
Sion James,"SG,G,Util",-,,0
Hunter Sallis,"SG,G,Util",-,,0
Mark Sears,"PG,G,Util",-,,0
Hunter Dickinson,"C,Util",-,,0
Eli John Ndiaye,"PF,F,Util",-,,0
Miles Kelly,"PG,G,Util",-,,0
Vladislav Goldin,"C,Util",-,,0
Chucky Hepburn,"PG,G,Util",-,,0
Caleb Love,"SG,G,Util",-,,0
Tamar Bates,"SG,G,Util",-,,0
Dylan Cardwell,"C,Util",-,,0
Ryan Nembhard,"PG,G,Util",-,,0
CJ Huntley,"PF,F,Util",-,,0
Curtis Jones,"SG,G,Util",-,,0
Chris Mañon,"SG,G,Util",-,,0
Myron Gardner,"SF,F,Util",-,,0
Moussa Cisse,"C,Util",-,,0
Jahmyl Telfort,"SF,F,Util",-,,0
Chris Youngblood,"SG,G,Util",-,,0
